h3_index,time_bucket,value
882a100dadfffff,2026-08-17 00:00,47
882a1072b7fffff,2026-08-17 00:00,100
882a100dedfffff,2026-08-17 00:00,61
882a100db7fffff,2026-08-17 00:00,57
882a107213fffff,2026-08-17 00:00,75
882a10723bfffff,2026-08-17 00:00,87
882a107231fffff,2026-08-17 00:00,29
882a107765fffff,2026-08-17 00:00,52
882a100dbdfffff,2026-08-17 00:00,71
882a100da5fffff,2026-08-17 00:00,37
882a107747fffff,2026-08-17 00:00,60
882a10721bfffff,2026-08-17 00:00,31
882a10776dfffff,2026-08-17 00:00,60
882a100d15fffff,2026-08-17 00:00,84
882a100de5fffff,2026-08-17 00:00,49
882a107239fffff,2026-08-17 00:00,81
882a107741fffff,2026-08-17 00:00,20
882a1072bdfffff,2026-08-17 00:00,26
882a100d21fffff,2026-08-17 00:00,48
882a100de7fffff,2026-08-17 00:00,35
882a1072edfffff,2026-08-17 00:00,39
882a107705fffff,2026-08-17 00:00,72
882a107293fffff,2026-08-17 00:00,10
882a100d31fffff,2026-08-17 00:00,86
882a100d21fffff,2026-08-17 00:00,53
882a100d35fffff,2026-08-17 00:00,76
882a100de7fffff,2026-08-17 00:00,39
882a1072c3fffff,2026-08-17 00:00,75
882a100d15fffff,2026-08-17 00:00,88
882a107729fffff,2026-08-17 00:00,97
882a100dadfffff,2026-08-17 00:00,23
882a10772dfffff,2026-08-17 00:00,61
882a100d2dfffff,2026-08-17 00:00,7
882a100da1fffff,2026-08-17 00:00,66
882a1070cbfffff,2026-08-17 00:00,78
882a100dedfffff,2026-08-17 00:00,34
882a107281fffff,2026-08-17 00:00,94
882a107743fffff,2026-08-17 00:00,15
882a10772dfffff,2026-08-17 00:00,46
882a100dbdfffff,2026-08-17 00:00,62
882a1072d1fffff,2026-08-17 00:00,15
882a107755fffff,2026-08-17 00:00,53
882a107749fffff,2026-08-17 00:00,73
882a107217fffff,2026-08-17 00:00,23
882a107233fffff,2026-08-17 00:00,93
882a107291fffff,2026-08-17 00:00,55
882a1072edfffff,2026-08-17 00:00,17
882a1072b9fffff,2026-08-17 00:00,47
882a1072e1fffff,2026-08-17 00:00,18
882a107213fffff,2026-08-17 00:00,88
882a100dadfffff,2026-08-17 02:00,99
882a1072b7fffff,2026-08-17 02:00,4
882a100dedfffff,2026-08-17 02:00,53
882a100db7fffff,2026-08-17 02:00,60
882a107213fffff,2026-08-17 02:00,17
882a10723bfffff,2026-08-17 02:00,60
882a107231fffff,2026-08-17 02:00,97
882a107765fffff,2026-08-17 02:00,38
882a100dbdfffff,2026-08-17 02:00,55
882a100da5fffff,2026-08-17 02:00,13
882a107747fffff,2026-08-17 02:00,20
882a10721bfffff,2026-08-17 02:00,93
882a10776dfffff,2026-08-17 02:00,18
882a100d15fffff,2026-08-17 02:00,97
882a100de5fffff,2026-08-17 02:00,38
882a107239fffff,2026-08-17 02:00,2
882a107741fffff,2026-08-17 02:00,70
882a1072bdfffff,2026-08-17 02:00,40
882a100d21fffff,2026-08-17 02:00,28
