h3_id,segment,hour_bucket,Week_part,overall_index,volume_index
8943a020057ffff,Families,After noon,Weekday,16.183,0.010123
8943a020057ffff,Families,After noon,Weekend,11.825,0.00739698
8943a020057ffff,Families,Morning,Weekday,23.512,0.015009
8943a020057ffff,Families,Morning,Weekend,18.344,0.0117099
8943a020057ffff,Families,Night,Weekday,5.923,0.003283
8943a020057ffff,Families,Night,Weekend,7.476,0.00414381
8943a020057ffff,Families,Noon,Weekday,9.298,0.005533
8943a020057ffff,Families,Noon,Weekend,7.904,0.00470334
8943a020057ffff,Families,Other,Weekday,23.842,0.015229
8943a020057ffff,Families,Other,Weekend,27.673,0.0176762
8943a020057ffff,HNWI,After noon,Weekday,22.213,0.014143
8943a020057ffff,HNWI,After noon,Weekend,17.343,0.0110424
8943a020057ffff,HNWI,Morning,Weekday,29.542,0.019029
8943a020057ffff,HNWI,Morning,Weekend,25.71,0.0165605
8943a020057ffff,HNWI,Night,Weekday,21.478,0.013653
8943a020057ffff,HNWI,Night,Weekend,26.451,0.0168142
8943a020057ffff,HNWI,Noon,Weekday,5.317,0.002879
8943a020057ffff,HNWI,Noon,Weekend,6.329,0.003427
8943a020057ffff,HNWI,Other,Weekday,9.397,0.005599
8943a020057ffff,HNWI,Other,Weekend,8.639,0.00514722
8943a020057ffff,Potential Car Buyers,After noon,Weekday,5.53,0.003021
8943a020057ffff,Potential Car Buyers,After noon,Weekend,3.68,0.00201021
8943a020057ffff,Potential Car Buyers,Morning,Weekday,12.859,0.007907
8943a020057ffff,Potential Car Buyers,Morning,Weekend,12.162,0.00747854
8943a020057ffff,Potential Car Buyers,Night,Weekday,4.795,0.002531
8943a020057ffff,Potential Car Buyers,Night,Weekend,6.748,0.00356164
8943a020057ffff,Potential Car Buyers,Noon,Weekday,4.261,0.002175
8943a020057ffff,Potential Car Buyers,Noon,Weekend,4.268,0.00217868
8943a020057ffff,Potential Car Buyers,Other,Weekday,22.714,0.014477
8943a020057ffff,Potential Car Buyers,Other,Weekend,24.323,0.0155027
8943a0200bbffff,Families,After noon,Weekday,19.585,0.012391
8943a0200bbffff,Families,After noon,Weekend,19.896,0.0125876
8943a0200bbffff,Families,Morning,Weekday,26.914,0.017277
8943a0200bbffff,Families,Morning,Weekend,16.611,0.010663
8943a0200bbffff,Families,Night,Weekday,9.325,0.005551
8943a0200bbffff,Families,Night,Weekend,8.377,0.00498671
8943a0200bbffff,Families,Noon,Weekday,23.164,0.014777
8943a0200bbffff,Families,Noon,Weekend,26.997,0.0172219
8943a0200bbffff,Families,Other,Weekday,27.244,0.017497
