h3_id,segment,hour_bucket,overall_index,volume_index,exclusivity_index
8943a020057ffff,Families,0,28.381278,0.018128,1.419064
8943a020057ffff,Families,2,25.859987,0.016518,1.292999
8943a020057ffff,Families,4,22.55334,0.014406,1.127667
8943a020057ffff,Families,6,22.49346,0.014359,1.124673
8943a020057ffff,Families,8,27.543368,0.017582,1.377168
8943a020057ffff,Families,10,11.118176,0.006616,0.555909
8943a020057ffff,Families,12,8.414597,0.005007,0.42073
8943a020057ffff,Families,14,15.042746,0.00941,0.752184
8943a020057ffff,Families,16,19.291916,0.012068,0.964655
8943a020057ffff,Families,18,6.404836,0.00355,0.320188
8943a020057ffff,Families,20,6.990976,0.003875,0.34949
8943a020057ffff,Families,22,6.357274,0.003524,0.31781
8943a020057ffff,HNWI,0,10.980488,0.006542,0.548966
8943a020057ffff,HNWI,2,9.650625,0.00575,0.48248
8943a020057ffff,HNWI,4,8.421122,0.005018,0.421011
8943a020057ffff,HNWI,6,27.449245,0.017681,1.372462
8943a020057ffff,HNWI,8,28.389862,0.018287,1.419493
8943a020057ffff,HNWI,10,5.793244,0.003137,0.289608
8943a020057ffff,HNWI,12,5.836365,0.00316,0.291763
8943a020057ffff,HNWI,14,20.579678,0.013103,1.028938
8943a020057ffff,HNWI,16,18.110037,0.011531,0.905461
8943a020057ffff,HNWI,18,22.926476,0.014574,1.146324
8943a020057ffff,HNWI,20,17.944869,0.011407,0.897243
8943a020057ffff,HNWI,22,25.57364,0.016256,1.278682
8943a020057ffff,Potential Car Buyers,0,18.260239,0.011638,0.913012
8943a020057ffff,Potential Car Buyers,2,20.986827,0.013376,1.049341
8943a020057ffff,Potential Car Buyers,4,20.169123,0.012855,1.008456
8943a020057ffff,Potential Car Buyers,6,14.038813,0.008632,0.701995
8943a020057ffff,Potential Car Buyers,8,15.234572,0.009368,0.761788
8943a020057ffff,Potential Car Buyers,10,3.821307,0.001951,0.19111
8943a020057ffff,Potential Car Buyers,12,3.88731,0.001984,0.194411
8943a020057ffff,Potential Car Buyers,14,4.632758,0.002531,0.231638
8943a020057ffff,Potential Car Buyers,16,6.511741,0.003557,0.325587
8943a020057ffff,Potential Car Buyers,18,4.767669,0.002517,0.238433
8943a020057ffff,Potential Car Buyers,20,4.680447,0.002471,0.234071
8943a020057ffff,Potential Car Buyers,22,5.566899,0.002938,0.278403
